"year","state","state_po","state_fips","state_cen","state_ic","office","district","stage","special","candidate","party_detailed","writein","mode","candidatevotes","totalvotes","unofficial","version","party_simplified"
1976,"ARIZONA","AZ",4,86,61,"US SENATE","statewide","gen",FALSE,"SAM STEIGER","REPUBLICAN",FALSE,"total",321236,741210,FALSE,"20210114","REPUBLICAN"
1976,"ARIZONA","AZ",4,86,61,"US SENATE","statewide","gen",FALSE,"WM. MATHEWS FEIGHAN","INDEPENDENT",FALSE,"total",1565,741210,FALSE,"20210114","OTHER"
1976,"ARIZONA","AZ",4,86,61,"US SENATE","statewide","gen",FALSE,"DENNIS DECONCINI","DEMOCRAT",FALSE,"total",400334,741210,FALSE,"20210114","DEMOCRAT"
1976,"ARIZONA","AZ",4,86,61,"US SENATE","statewide","gen",FALSE,"ALLAN NORWITZ","LIBERTARIAN",FALSE,"total",7310,741210,FALSE,"20210114","LIBERTARIAN"
1976,"ARIZONA","AZ",4,86,61,"US SENATE","statewide","gen",FALSE,"BOB FIELD","INDEPENDENT",FALSE,"total",10765,741210,FALSE,"20210114","OTHER"
1976,"CALIFORNIA","CA",6,93,71,"US SENATE","statewide","gen",FALSE,"JACK MCCOY","AMERICAN INDEPENDENT",FALSE,"total",82739,7470586,FALSE,"20210114","OTHER"
1976,"CALIFORNIA","CA",6,93,71,"US SENATE","statewide","gen",FALSE,"S. I. (SAM) HAYAKAWA","REPUBLICAN",FALSE,"total",3748973,7470586,FALSE,"20210114","REPUBLICAN"
1976,"CALIFORNIA","CA",6,93,71,"US SENATE","statewide","gen",FALSE,"JOHN V. TUNNEY","DEMOCRAT",FALSE,"total",3502862,7470586,FALSE,"20210114","DEMOCRAT"
1976,"CALIFORNIA","CA",6,93,71,"US SENATE","statewide","gen",FALSE,"OMARI MUSA","INDEPENDENT",FALSE,"total",31629,7470586,FALSE,"20210114","OTHER"
1976,"CALIFORNIA","CA",6,93,71,"US SENATE","statewide","gen",FALSE,"DAVID WALD","PEACE AND FREEDOM",FALSE,"total",104383,7470586,FALSE,"20210114","OTHER"
1976,"CONNECTICUT","CT",9,16,1,"US SENATE","statewide","gen",FALSE,"LOWELL P. WEICKER, JR.","REPUBLICAN",FALSE,"total",785683,1361666,FALSE,"20210114","REPUBLICAN"
1976,"CONNECTICUT","CT",9,16,1,"US SENATE","statewide","gen",FALSE,"SCATTER","",FALSE,"total",558,1361666,FALSE,"20210114","OTHER"
1976,"CONNECTICUT","CT",9,16,1,"US SENATE","statewide","gen",FALSE,"ROBERT BARNABEI","AMERICAN INDEPENDENT",FALSE,"total",14407,1361666,FALSE,"20210114","OTHER"
1976,"CONNECTICUT","CT",9,16,1,"US SENATE","statewide","gen",FALSE,"GLORIA SCHAFFER","DEMOCRAT",FALSE,"total",561018,1361666,FALSE,"20210114","DEMOCRAT"
1976,"DELAWARE","DE",10,51,11,"US SENATE","statewide","gen",FALSE,"THOMAS C. MALONEY","DEMOCRAT",FALSE,"total",98042,224795,FALSE,"20210114","DEMOCRAT"
1976,"DELAWARE","DE",10,51,11,"US SENATE","statewide","gen",FALSE,"WILLIAM V. ROTH, JR.","REPUBLICAN",FALSE,"total",125454,224795,FALSE,"20210114","REPUBLICAN"
1976,"DELAWARE","DE",10,51,11,"US SENATE","statewide","gen",FALSE,"DONALD G. GIES","AMERICAN",FALSE,"total",646,224795,FALSE,"20210114","OTHER"
1976,"DELAWARE","DE",10,51,11,"US SENATE","statewide","gen",FALSE,"JOHN A. MASSIMILLA","PROHIBITION",FALSE,"total",216,224795,FALSE,"20210114","OTHER"
1976,"DELAWARE","DE",10,51,11,"US SENATE","statewide","gen",FALSE,"JOSEPH F. MCINERNEY","NONE",FALSE,"total",437,224795,FALSE,"20210114","OTHER"
1976,"FLORIDA","FL",12,59,43,"US SENATE","statewide","gen",FALSE,"LAWTON CHILES","DEMOCRAT",FALSE,"total",1799518,2857534,FALSE,"20210114","DEMOCRAT"
1976,"FLORIDA","FL",12,59,43,"US SENATE","statewide","gen",FALSE,"SCATTER","",FALSE,"total",130,2857534,FALSE,"20210114","OTHER"
1976,"FLORIDA","FL",12,59,43,"US SENATE","statewide","gen",FALSE,"JOHN GRADY","REPUBLICAN",FALSE,"total",1057886,2857534,FALSE,"20210114","REPUBLICAN"
1976,"HAWAII","HI",15,95,82,"US SENATE","statewide","gen",FALSE,"SPARK M. MATSUNAGA","DEMOCRAT",FALSE,"total",162305,302092,FALSE,"20210114","DEMOCRAT"
1976,"HAWAII","HI",15,95,82,"US SENATE","statewide","gen",FALSE,"JAMES D. KIMMEL","INDEPENDENT",FALSE,"total",1433,302092,FALSE,"20210114","OTHER"
1976,"HAWAII","HI",15,95,82,"US SENATE","statewide","gen",FALSE,"WILLIAM QUINN","REPUBLICAN",FALSE,"total",122724,302092,FALSE,"20210114","REPUBLICAN"
1976,"HAWAII","HI",15,95,82,"US SENATE","statewide","gen",FALSE,"ANTHONY N. HODGES","PROHIBITION",FALSE,"total",14226,302092,FALSE,"20210114","OTHER"
1976,"HAWAII","HI",15,95,82,"US SENATE","statewide","gen",FALSE,"ROCKNE JOHNSON","LIBERTARIAN",FALSE,"total",1404,302092,FALSE,"20210114","LIBERTARIAN"
1976,"INDIANA","IN",18,32,22,"US SENATE","statewide","gen",FALSE,"RICHARD G. LUGAR","REPUBLICAN",FALSE,"total",1275833,2161187,FALSE,"20210114","REPUBLICAN"
1976,"INDIANA","IN",18,32,22,"US SENATE","statewide","gen",FALSE,"VANCE HARTKE","DEMOCRAT",FALSE,"total",868522,2161187,FALSE,"20210114","DEMOCRAT"
1976,"INDIANA","IN",18,32,22,"US SENATE","statewide","gen",FALSE,"DON L. LEE","INDEPENDENT",FALSE,"total",14321,2161187,FALSE,"20210114","OTHER"
1976,"INDIANA","IN",18,32,22,"US SENATE","statewide","gen",FALSE,"DAVID LEE HOAGLAND","U.S. LABOR",FALSE,"total",2511,2161187,FALSE,"20210114","OTHER"
1976,"MAINE","ME",23,11,2,"US SENATE","statewide","gen",FALSE,"ROBERT A. G. MONKS","REPUBLICAN",FALSE,"total",193489,486193,FALSE,"20210114","REPUBLICAN"
1976,"MAINE","ME",23,11,2,"US SENATE","statewide","gen",FALSE,"EDMUND S. MUSKIE","DEMOCRAT",FALSE,"total",292704,486193,FALSE,"20210114","DEMOCRAT"
1976,"MARYLAND","MD",24,52,52,"US SENATE","statewide","gen",FALSE,"J. GLENN BEALL, JR.","REPUBLICAN",FALSE,"total",530439,1365290,FALSE,"20210114","REPUBLICAN"
1976,"MARYLAND","MD",24,52,52,"US SENATE","statewide","gen",FALSE,"PAUL S. SARBANES","DEMOCRAT",FALSE,"total",772101,1365290,FALSE,"20210114","DEMOCRAT"
1976,"MARYLAND","MD",24,52,52,"US SENATE","statewide","gen",FALSE,"BRUCE BRADLEY","INDEPENDENT",FALSE,"total",62750,1365290,FALSE,"20210114","OTHER"
1976,"MASSACHUSETTS","MA",25,14,3,"US SENATE","statewide","gen",FALSE,"CAROL HENDERSON EVANS","SOCIALIST WORKERS",FALSE,"total",26283,2491255,FALSE,"20210114","OTHER"
1976,"MASSACHUSETTS","MA",25,14,3,"US SENATE","statewide","gen",FALSE,"SCATTER","",FALSE,"total",157,2491255,FALSE,"20210114","OTHER"
1976,"MASSACHUSETTS","MA",25,14,3,"US SENATE","statewide","gen",FALSE,"MICHAEL S. ROBERTSON","REPUBLICAN",FALSE,"total",722641,2491255,FALSE,"20210114","REPUBLICAN"
1976,"MASSACHUSETTS","MA",25,14,3,"US SENATE","statewide","gen",FALSE,"H. GRAHAM LOWRY","U.S. LABOR",FALSE,"total",15517,2491255,FALSE,"20210114","OTHER"
1976,"MASSACHUSETTS","MA",25,14,3,"US SENATE","statewide","gen",FALSE,"EDWARD M. KENNEDY","DEMOCRAT",FALSE,"total",1726657,2491255,FALSE,"20210114","DEMOCRAT"
1976,"MICHIGAN","MI",26,34,23,"US SENATE","statewide","gen",FALSE,"BETTE JANE ERWIN","LIBERTARIAN",FALSE,"total",8842,3490412,FALSE,"20210114","LIBERTARIAN"
1976,"MICHIGAN","MI",26,34,23,"US SENATE","statewide","gen",FALSE,"THEODORE G. ALBERT","HUMAN RIGHTS",FALSE,"total",7281,3490412,FALSE,"20210114","OTHER"
1976,"MICHIGAN","MI",26,34,23,"US SENATE","statewide","gen",FALSE,"MARVIN L. ESCH","REPUBLICAN",FALSE,"total",1635087,3490412,FALSE,"20210114","REPUBLICAN"
1976,"MICHIGAN","MI",26,34,23,"US SENATE","statewide","gen",FALSE,"DONALD W. RIEGLE, JR.","DEMOCRAT",FALSE,"total",1831031,3490412,FALSE,"20210114","DEMOCRAT"
1976,"MICHIGAN","MI",26,34,23,"US SENATE","statewide","gen",FALSE,"FRANK GIRARD","SOCIALIST LABOR",FALSE,"total",2554,3490412,FALSE,"20210114","OTHER"
1976,"MICHIGAN","MI",26,34,23,"US SENATE","statewide","gen",FALSE,"PAULA L. REIMERS","SOCIALIST WORKERS",FALSE,"total",3399,3490412,FALSE,"20210114","OTHER"
1976,"MICHIGAN","MI",26,34,23,"US SENATE","statewide","gen",FALSE,"PETER A. SIGNORELLI","U.S. LABOR",FALSE,"total",2218,3490412,FALSE,"20210114","OTHER"
1976,"MINNESOTA","MN",27,41,33,"US SENATE","statewide","gen",FALSE,"ROBIN E. MILLER","LIBERTARIAN",FALSE,"total",5476,1912020,FALSE,"20210114","LIBERTARIAN"
1976,"MINNESOTA","MN",27,41,33,"US SENATE","statewide","gen",FALSE,"BILL PETERSON","SOCIALIST WORKERS",FALSE,"total",9380,1912020,FALSE,"20210114","OTHER"
1976,"MINNESOTA","MN",27,41,33,"US SENATE","statewide","gen",FALSE,"MATT SAVOLA","COMMUNIST",FALSE,"total",2214,1912020,FALSE,"20210114","OTHER"
1976,"MINNESOTA","MN",27,41,33,"US SENATE","statewide","gen",FALSE,"JERRY BREKKE","REPUBLICAN",FALSE,"total",478602,1912020,FALSE,"20210114","REPUBLICAN"
1976,"MINNESOTA","MN",27,41,33,"US SENATE","statewide","gen",FALSE,"PAUL HELM","AMERICAN",FALSE,"total",125612,1912020,FALSE,"20210114","OTHER"
1976,"MINNESOTA","MN",27,41,33,"US SENATE","statewide","gen",FALSE,"HUBERT H. HUMPHREY","DEMOCRAT",FALSE,"total",1290736,1912020,FALSE,"20210114","DEMOCRAT"
1976,"MISSISSIPPI","MS",28,64,46,"US SENATE","statewide","gen",FALSE,"JOHN C. STENNIS","DEMOCRAT",FALSE,"total",554433,554433,FALSE,"20210114","DEMOCRAT"
1976,"MISSOURI","MO",29,43,34,"US SENATE","statewide","gen",FALSE,"JOHN C. DANFORTH","REPUBLICAN",FALSE,"total",1090067,1914460,FALSE,"20210114","REPUBLICAN"
1976,"MISSOURI","MO",29,43,34,"US SENATE","statewide","gen",FALSE,"WARREN E. HEARNES","DEMOCRAT",FALSE,"total",813571,1914460,FALSE,"20210114","DEMOCRAT"
1976,"MISSOURI","MO",29,43,34,"US SENATE","statewide","gen",FALSE,"LAWRENE (RED) PETTY","INDEPENDENT",FALSE,"total",10822,1914460,FALSE,"20210114","OTHER"
1976,"MONTANA","MT",30,81,64,"US SENATE","statewide","gen",FALSE,"STANLEY C. BURGER","REPUBLICAN",FALSE,"total",115213,321445,FALSE,"20210114","REPUBLICAN"
1976,"MONTANA","MT",30,81,64,"US SENATE","statewide","gen",FALSE,"JOHN MELCHER","DEMOCRAT",FALSE,"total",206232,321445,FALSE,"20210114","DEMOCRAT"
1976,"NEBRASKA","NE",31,46,35,"US SENATE","statewide","gen",FALSE,NA,NA,TRUE,"total",58,593310,FALSE,"20210114","OTHER"
1976,"NEBRASKA","NE",31,46,35,"US SENATE","statewide","gen",FALSE,"SCATTER","",FALSE,"total",163,593310,FALSE,"20210114","OTHER"
1976,"NEBRASKA","NE",31,46,35,"US SENATE","statewide","gen",FALSE,"JOHN Y. MCCOLLISTER","REPUBLICAN",FALSE,"total",279284,593310,FALSE,"20210114","REPUBLICAN"
