cycle,branch,model,modeldate,candidate_inc,candidate_chal,candidate_3rd,state,tipping,vpi,winstate_inc,winstate_chal,winstate_3rd,voteshare_inc,voteshare_chal,voteshare_3rd,voteshare_other,voteshare_inc_hi,voteshare_chal_hi,voteshare_3rd_hi,voteshare_other_hi,voteshare_inc_lo,voteshare_chal_lo,voteshare_3rd_lo,voteshare_other_lo,margin,margin_hi,margin_lo,win_EC_if_win_state_inc,win_EC_if_win_state_chal,win_state_if_win_EC_inc,win_state_if_win_EC_chal,state_turnout,state_turnout_hi,state_turnout_lo,timestamp,simulations
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Wyoming,0,0,.998375,.001625,,65.7776,31.04658,,3.175817,70.99022,36.18585,,4.771921,60.52768,25.93248,,1.779553,34.73101,44.89131,24.50582,.1040441,.9846154,.9997594,.0017945,274642,319577,231459,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Wisconsin,.0531375,2.543351,.056425,.943575,,45.37802,53.68898,,.9329966,48.68993,56.99251,,1.361636,42.07389,50.3974,,.5480534,-8.310961,-1.729342,-14.89797,.771821,.9319344,.419153,.9862607,3325739,3748885,2908762,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",West Virginia,.0000625,.0152398,.992825,.007175,,64.48556,33.77089,,1.743553,70.77528,40.13931,,2.581719,58.12693,27.4762,,1.00112,30.71466,43.27236,18.01854,.1045501,.9860627,.9990376,.0079352,749616,868161,635685,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Washington,.0022875,.0829965,.00845,.99155,,37.00352,60.76666,,2.229822,42.22951,65.99652,,3.321611,31.79709,55.51974,,1.268175,-23.76315,-13.36625,-34.12025,.2633136,.8929706,.0214148,.9930742,4429891,5013615,3857496,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Virginia,.00985,.3412789,.009775,.990225,,43.28946,55.77469,,.9358491,46.40628,58.82807,,1.365897,40.23785,52.66484,,.5496716,-12.48523,-6.260893,-18.56248,.7672634,.8981292,.0721848,.9974765,4599938,5189515,4020238,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Vermont,.0003,.1337264,.004025,.995975,,29.07018,67.17892,,3.750889,36.12558,74.14552,,5.660613,22.19419,60.00483,,2.08629,-38.10874,-24.02899,-51.79807,.2298137,.8920907,.0089028,.9965231,346095,394945,298441,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Utah,.0007125,.0876795,.9544,.0456,,55.45525,41.69538,,2.84937,60.37789,46.66598,,4.269953,50.46951,36.75788,,1.604079,13.75988,23.51204,3.924717,.1078164,.9769737,.9903753,.0499664,1355468,1548819,1166838,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Texas,.02365,.3094696,.617525,.382475,,50.30484,48.78954,,.9056239,53.68892,52.16631,,1.320808,46.93433,45.41179,,.5325226,1.515306,8.264648,-5.222725,.1678475,.9993464,.9975938,.4286956,12147223,13732368,10590980,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",Tennessee,.0008625,.0480557,.967525,.032475,,57.25942,41.55495,,1.185626,62.24617,46.56695,,1.739583,52.26406,36.57331,,.6905421,15.70446,25.66637,5.709898,.1072324,.9938414,.9985563,.036199,2851251,3246276,2466752,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",South Dakota,.00045,.1730952,.948125,.051875,,57.79984,40.80887,,1.391291,64.09464,47.10979,,2.049075,51.45981,34.52515,,.8057098,16.99097,29.55412,4.397381,.109031,.9893976,.9949471,.0575651,412006,470150,355334,00:00:48  3 Nov 2020,40000
