date,region,special,runoff,offyear,disabled,candidate,party,voteshare
2/1/2021,Alabama,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.15
2/1/2021,Alaska,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.15
2/1/2021,Arizona,FALSE,FALSE,FALSE,FALSE,Independent,INDGEN,0
2/1/2021,Arkansas,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.15
2/1/2021,California,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.15
2/1/2021,Colorado,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.15
2/1/2021,Connecticut,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.15
2/1/2021,Delaware,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.01
2/1/2021,Florida,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.01
2/1/2021,Georgia,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.01
2/1/2021,Hawaii,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.15
2/1/2021,Idaho,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.15
2/1/2021,Illinois,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.15
2/1/2021,Indiana,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.01
2/1/2021,Iowa,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.05
2/1/2021,Kansas,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.01
2/1/2021,Kentucky,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.01
2/1/2021,Louisiana,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.01
2/1/2021,Maine,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.05
2/1/2021,Maryland,FALSE,FALSE,FALSE,FALSE,Independent,INDGEN,0
2/1/2021,Massachusetts,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.15
2/1/2021,Michigan,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.01
2/1/2021,Minnesota,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.05
2/1/2021,Mississippi,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.01
2/1/2021,Missouri,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.01
2/1/2021,Montana,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.01
2/1/2021,Nebraska,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.15
2/1/2021,Nevada,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.05
2/1/2021,New Hampshire,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.15
2/1/2021,New Jersey,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.15
2/1/2021,New Mexico,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.15
2/1/2021,New York,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.15
2/1/2021,North Carolina,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.01
2/1/2021,North Dakota,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.01
2/1/2021,Ohio,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.05
2/1/2021,Oklahoma,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.15
2/1/2021,Oregon,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.15
2/1/2021,Pennsylvania,FALSE,FALSE,FALSE,FALSE,Independent,INDGEN,0
2/1/2021,Rhode Island,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.15
2/1/2021,South Carolina,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.15
2/1/2021,South Dakota,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.15
2/1/2021,Tennessee,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.15
2/1/2021,Texas,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.05
2/1/2021,Utah,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.01
2/1/2021,Vermont,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.15
2/1/2021,Virginia,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.05
2/1/2021,Washington,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.01
2/1/2021,West Virginia,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.01
2/1/2021,Wisconsin,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.01
2/1/2021,Wyoming,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.15
4/13/2021,Alabama,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.15
4/13/2021,Alaska,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.15
4/13/2021,Arizona,FALSE,FALSE,FALSE,FALSE,Independent,INDGEN,0
4/13/2021,Arkansas,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.15
4/13/2021,California,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.15
4/13/2021,Colorado,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.15
4/13/2021,Connecticut,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.15
4/13/2021,Delaware,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.01
4/13/2021,Florida,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.01
4/13/2021,Georgia,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.01
4/13/2021,Hawaii,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.15
4/13/2021,Idaho,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.15
4/13/2021,Illinois,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.15
4/13/2021,Indiana,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.01
4/13/2021,Iowa,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.05
4/13/2021,Kansas,FALSE,FALSE,FALSE,FALSE,Independent,INDGEN,0
4/13/2021,Kentucky,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.01
4/13/2021,Louisiana,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.01
4/13/2021,Maine,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.05
4/13/2021,Maryland,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.01
4/13/2021,Massachusetts,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.15
4/13/2021,Michigan,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.01
4/13/2021,Minnesota,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.05
4/13/2021,Mississippi,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.01
4/13/2021,Missouri,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.01
4/13/2021,Montana,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.01
4/13/2021,Nebraska,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.15
4/13/2021,Nevada,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.05
4/13/2021,New Hampshire,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.15
4/13/2021,New Jersey,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.15
4/13/2021,New Mexico,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.15
4/13/2021,New York,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.15
4/13/2021,North Carolina,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.01
4/13/2021,North Dakota,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.01
4/13/2021,Ohio,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.05
4/13/2021,Oklahoma,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.15
4/13/2021,Oregon,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.15
4/13/2021,Pennsylvania,FALSE,FALSE,FALSE,FALSE,Independent,INDGEN,0
4/13/2021,Rhode Island,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.15
4/13/2021,South Carolina,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.15
4/13/2021,South Dakota,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.15
4/13/2021,Tennessee,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.15
4/13/2021,Texas,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.05
