date,region,margin
11/30/2018,California,-15
11/30/2018,Connecticut,-15
11/30/2018,Delaware,-15
11/30/2018,Washington DC,-15
11/30/2018,Hawaii,-15
11/30/2018,Illinois,-15
11/30/2018,Maine 1st CD,-15
11/30/2018,Maryland,-15
11/30/2018,Massachusetts,-15
11/30/2018,New Jersey,-15
11/30/2018,New Mexico,-15
11/30/2018,New York,-15
11/30/2018,Oregon,-15
11/30/2018,Rhode Island,-15
11/30/2018,Vermont,-15
11/30/2018,Washington,-15
11/30/2018,Colorado,-5
11/30/2018,Virginia,-5
11/30/2018,Maine,-1
11/30/2018,Minnesota,-1
11/30/2018,New Hampshire,-1
11/30/2018,Nevada,-1
11/30/2018,Arizona,0
11/30/2018,Florida,0
11/30/2018,Michigan,0
11/30/2018,Pennsylvania,0
11/30/2018,Wisconsin,0
11/30/2018,Georgia,1
11/30/2018,Iowa,1
11/30/2018,Maine 2nd CD,1
11/30/2018,Nebraska 2nd CD,1
11/30/2018,North Carolina,1
11/30/2018,Ohio,5
11/30/2018,Texas,5
11/30/2018,Alabama,15
11/30/2018,Alaska,15
11/30/2018,Arkansas,15
11/30/2018,Idaho,15
11/30/2018,Indiana,15
11/30/2018,Kansas,15
11/30/2018,Kentucky,15
11/30/2018,Louisiana,15
11/30/2018,Mississippi,15
11/30/2018,Missouri,15
11/30/2018,Montana,15
11/30/2018,Nebraska,15
11/30/2018,Nebraska 1st CD,15
11/30/2018,Nebraska 3rd CD,15
11/30/2018,North Dakota,15
11/30/2018,Oklahoma,15
11/30/2018,South Carolina,15
11/30/2018,South Dakota,15
11/30/2018,Tennessee,15
11/30/2018,Utah,15
11/30/2018,West Virginia,15
11/30/2018,Wyoming,15
01/09/2019,California,-15
01/09/2019,Connecticut,-15
01/09/2019,Delaware,-15
01/09/2019,Washington DC,-15
01/09/2019,Hawaii,-15
01/09/2019,Illinois,-15
01/09/2019,Maine 1st CD,-15
01/09/2019,Maryland,-15
01/09/2019,Massachusetts,-15
01/09/2019,New Jersey,-15
01/09/2019,New Mexico,-15
01/09/2019,New York,-15
01/09/2019,Oregon,-15
01/09/2019,Rhode Island,-15
01/09/2019,Vermont,-15
01/09/2019,Washington,-15
01/09/2019,Colorado,-5
01/09/2019,Virginia,-5
01/09/2019,Maine,-1
01/09/2019,Minnesota,-1
01/09/2019,New Hampshire,-1
01/09/2019,Nevada,-1
01/09/2019,Arizona,0
01/09/2019,Florida,0
01/09/2019,Michigan,0
01/09/2019,Pennsylvania,0
01/09/2019,Wisconsin,0
01/09/2019,Georgia,1
01/09/2019,Iowa,1
01/09/2019,Maine 2nd CD,1
01/09/2019,Nebraska 2nd CD,1
01/09/2019,North Carolina,1
01/09/2019,Ohio,5
01/09/2019,Texas,5
01/09/2019,Alabama,15
01/09/2019,Alaska,15
01/09/2019,Arkansas,15
01/09/2019,Idaho,15
01/09/2019,Indiana,15
01/09/2019,Kansas,15
01/09/2019,Kentucky,15
01/09/2019,Louisiana,15
01/09/2019,Mississippi,15
01/09/2019,Missouri,15
01/09/2019,Montana,15
01/09/2019,Nebraska,15
01/09/2019,Nebraska 1st CD,15
01/09/2019,Nebraska 3rd CD,15
01/09/2019,North Dakota,15
01/09/2019,Oklahoma,15
01/09/2019,South Carolina,15
01/09/2019,South Dakota,15
01/09/2019,Tennessee,15
01/09/2019,Utah,15
01/09/2019,West Virginia,15
01/09/2019,Wyoming,15
09/29/2019,California,-15
09/29/2019,Connecticut,-15
