date,region,candidate,party,voteshare,version
11/7/2000,Abbeville__SC,Gore,democrat,0.449725340339145,20191203
11/7/2000,Abbeville__SC,Bush,republican,0.531406735132553,20191203
11/7/2000,Abbeville__SC,Nader,green,0.00788153809410079,20191203
11/7/2000,Abbeville__SC,Other,NA,0.0109863864342011,20191203
11/7/2000,Acadia__LA,Gore,democrat,0.382649109217661,20191203
11/7/2000,Acadia__LA,Bush,republican,0.594457354333419,20191203
11/7/2000,Acadia__LA,Nader,green,0.00976848265771581,20191203
11/7/2000,Acadia__LA,Other,NA,0.0131250537912041,20191203
11/7/2000,Accomack__VA,Gore,democrat,0.427002096436059,20191203
11/7/2000,Accomack__VA,Bush,republican,0.532662473794549,20191203
11/7/2000,Accomack__VA,Nader,green,0.0184486373165618,20191203
11/7/2000,Accomack__VA,Other,NA,0.0218867924528302,20191203
11/7/2000,Ada__ID,Gore,democrat,0.329189780135239,20191203
11/7/2000,Ada__ID,Bush,republican,0.607766125440337,20191203
11/7/2000,Ada__ID,Nader,green,0.0392436328298984,20191203
11/7/2000,Ada__ID,Other,NA,0.0238004615945257,20191203
11/7/2000,Adair__IA,Gore,democrat,0.425175842832889,20191203
11/7/2000,Adair__IA,Bush,republican,0.551782682512733,20191203
11/7/2000,Adair__IA,Nader,green,0.0160077613388309,20191203
11/7/2000,Adair__IA,Other,NA,0.00703371331554693,20191203
11/7/2000,Adair__KY,Gore,democrat,0.242767467248908,20191203
11/7/2000,Adair__KY,Bush,republican,0.745087336244541,20191203
11/7/2000,Adair__KY,Nader,green,0.00655021834061135,20191203
11/7/2000,Adair__KY,Other,NA,0.00559497816593886,20191203
11/7/2000,Adair__MO,Gore,democrat,0.388646702047005,20191203
11/7/2000,Adair__MO,Bush,republican,0.573351023502654,20191203
11/7/2000,Adair__MO,Nader,green,0.0285253980288097,20191203
11/7/2000,Adair__MO,Other,NA,0.00947687642153146,20191203
11/7/2000,Adair__OK,Gore,democrat,0.395014221181195,20191203
11/7/2000,Adair__OK,Bush,republican,0.586079973230718,20191203
11/7/2000,Adair__OK,Nader,green,,20191203
11/7/2000,Adair__OK,Other,NA,0.0189058055880877,20191203
11/7/2000,Adams__CO,Gore,democrat,0.501910024848867,20191203
11/7/2000,Adams__CO,Bush,republican,0.440983940956125,20191203
11/7/2000,Adams__CO,Nader,green,0.0386177354151986,20191203
11/7/2000,Adams__CO,Other,NA,0.0184882987798094,20191203
11/7/2000,Adams__IA,Gore,democrat,0.418181818181818,20191203
11/7/2000,Adams__IA,Bush,republican,0.545454545454545,20191203
11/7/2000,Adams__IA,Nader,green,0.0237762237762238,20191203
11/7/2000,Adams__IA,Other,NA,0.0125874125874126,20191203
11/7/2000,Adams__ID,Gore,democrat,0.176008381351493,20191203
11/7/2000,Adams__ID,Bush,republican,0.77317967522263,20191203
11/7/2000,Adams__ID,Nader,green,0.0214772132006286,20191203
11/7/2000,Adams__ID,Other,NA,0.0293347302252488,20191203
11/7/2000,Adams__IL,Gore,democrat,0.405094822146202,20191203
11/7/2000,Adams__IL,Bush,republican,0.575608622006709,20191203
11/7/2000,Adams__IL,Nader,green,0.0123218971071773,20191203
11/7/2000,Adams__IL,Other,NA,0.00697465873991165,20191203
11/7/2000,Adams__IN,Gore,democrat,0.299841143764893,20191203
11/7/2000,Adams__IN,Bush,republican,0.679507545671168,20191203
11/7/2000,Adams__IN,Nader,green,0.00357426528991263,20191203
11/7/2000,Adams__IN,Other,NA,0.017077045274027,20191203
11/7/2000,Adams__MS,Gore,democrat,0.542039115531958,20191203
11/7/2000,Adams__MS,Bush,republican,0.449694199879024,20191203
11/7/2000,Adams__MS,Nader,green,0.00598158478392365,20191203
11/7/2000,Adams__MS,Other,NA,0.00228509980509443,20191203
11/7/2000,Adams__ND,Gore,democrat,0.246551724137931,20191203
11/7/2000,Adams__ND,Bush,republican,0.712068965517241,20191203
11/7/2000,Adams__ND,Nader,green,0.0198275862068966,20191203
11/7/2000,Adams__ND,Other,NA,0.021551724137931,20191203
11/7/2000,Adams__NE,Gore,democrat,0.296349895481589,20191203
11/7/2000,Adams__NE,Bush,republican,0.656214825534652,20191203
11/7/2000,Adams__NE,Nader,green,0.0379482231870076,20191203
11/7/2000,Adams__NE,Other,NA,0.00948705579675189,20191203
11/7/2000,Adams__OH,Gore,democrat,0.349877870053737,20191203
11/7/2000,Adams__OH,Bush,republican,0.623351245725452,20191203
11/7/2000,Adams__OH,Nader,green,0.0158280410356619,20191203
11/7/2000,Adams__OH,Other,NA,0.010942843185149,20191203
11/7/2000,Adams__PA,Gore,democrat,0.349415248407262,20191203
11/7/2000,Adams__PA,Bush,republican,0.62357550922741,20191203
11/7/2000,Adams__PA,Nader,green,0.0208177549128107,20191203
11/7/2000,Adams__PA,Other,NA,0.00619148745251697,20191203
11/7/2000,Adams__WA,Gore,democrat,0.282669883393647,20191203
11/7/2000,Adams__WA,Bush,republican,0.691596300763973,20191203
11/7/2000,Adams__WA,Nader,green,0.0170888620828307,20191203
11/7/2000,Adams__WA,Other,NA,0.00864495375954966,20191203
11/7/2000,Adams__WI,Gore,democrat,0.529398859148749,20191203
11/7/2000,Adams__WI,Bush,republican,0.430013163668276,20191203
11/7/2000,Adams__WI,Nader,green,0.0238043001316367,20191203
11/7/2000,Adams__WI,Other,NA,0.0167836770513383,20191203
11/7/2000,Addison__VT,Gore,democrat,0.512767544614678,20191203
11/7/2000,Addison__VT,Bush,republican,0.398978596430826,20191203
11/7/2000,Addison__VT,Nader,green,0.0692603431456935,20191203
11/7/2000,Addison__VT,Other,NA,0.0189935158088024,20191203
11/7/2000,Aiken__SC,Gore,democrat,0.323126304596117,20191203
11/7/2000,Aiken__SC,Bush,republican,0.653834035681935,20191203
11/7/2000,Aiken__SC,Nader,green,0.0133118033949037,20191203
11/7/2000,Aiken__SC,Other,NA,0.00972785632704502,20191203
11/7/2000,Aitkin__MN,Gore,democrat,0.463680387409201,20191203
11/7/2000,Aitkin__MN,Bush,republican,0.454600484261501,20191203
11/7/2000,Aitkin__MN,Nader,green,0.0487893462469734,20191203
11/7/2000,Aitkin__MN,Other,NA,0.0329297820823245,20191203
11/7/2000,Alachua__FL,Gore,democrat,0.552496821378997,20191203
11/7/2000,Alachua__FL,Bush,republican,0.39804500227461,20191203
11/7/2000,Alachua__FL,Nader,green,0.0376302068144968,20191203
11/7/2000,Alachua__FL,Other,NA,0.011827969531897,20191203
11/7/2000,Alamance__NC,Gore,democrat,0.370750249516893,20191203
11/7/2000,Alamance__NC,Bush,republican,0.622305748444501,20191203
11/7/2000,Alamance__NC,Nader,green,,20191203
11/7/2000,Alamance__NC,Other,NA,0.0069440020386061,20191203
11/7/2000,Alameda__CA,Gore,democrat,0.693635502977732,20191203
11/7/2000,Alameda__CA,Bush,republican,0.241291348394614,20191203
11/7/2000,Alameda__CA,Nader,green,0.0556281557483169,20191203
11/7/2000,Alameda__CA,Other,NA,0.00944499287933713,20191203
11/7/2000,Alamosa__CO,Gore,democrat,0.433822230075985,20191203
11/7/2000,Alamosa__CO,Bush,republican,0.504859515815515,20191203
11/7/2000,Alamosa__CO,Nader,green,0.0468280614949638,20191203
11/7/2000,Alamosa__CO,Other,NA,0.014490192613536,20191203
11/7/2000,Albany__NY,Gore,democrat,0.603068275468588,20191203
11/7/2000,Albany__NY,Bush,republican,0.335453514499644,20191203
11/7/2000,Albany__NY,Nader,green,0.0505885087589544,20191203
11/7/2000,Albany__NY,Other,NA,0.0108897012728131,20191203
11/7/2000,Albany__WY,Gore,democrat,0.358207900501731,20191203
11/7/2000,Albany__WY,Bush,republican,0.552187124584835,20191203
11/7/2000,Albany__WY,Nader,green,0.0698183873931171,20191203
11/7/2000,Albany__WY,Other,NA,0.0197865875203166,20191203
11/7/2000,Albemarle__VA,Gore,democrat,0.441160505889377,20191203
