date,region,candidate,party,voteshare
01/11/2025,Alvana,Alliance,alliance,0
01/11/2025,Alvana,Liberal,liberal,0
01/11/2025,Alvana,Labour,labour,0
01/11/2025,Alvana,Progressive,progressive,0
01/11/2025,Brunix Islands,Alliance,alliance,0
01/11/2025,Brunix Islands,Liberal,liberal,0
01/11/2025,Brunix Islands,Labour,labour,0
01/11/2025,Brunix Islands,Progressive,progressive,0
01/11/2025,Dalminica,Alliance,alliance,0
01/11/2025,Dalminica,Liberal,liberal,0
01/11/2025,Dalminica,Labour,labour,0
01/11/2025,Dalminica,Progressive,progressive,0
01/11/2025,Dentone,Alliance,alliance,0
01/11/2025,Dentone,Liberal,liberal,0
01/11/2025,Dentone,Labour,labour,0
01/11/2025,Dentone,Progressive,progressive,0
01/11/2025,Emix,Alliance,alliance,0
01/11/2025,Emix,Liberal,liberal,0
01/11/2025,Emix,Labour,labour,0
01/11/2025,Emix,Progressive,progressive,0
01/11/2025,Garvor,Alliance,alliance,0
01/11/2025,Garvor,Liberal,liberal,0
01/11/2025,Garvor,Labour,labour,0
01/11/2025,Garvor,Progressive,progressive,0
01/11/2025,Quintin,Alliance,alliance,0
01/11/2025,Quintin,Liberal,liberal,0
01/11/2025,Quintin,Labour,labour,0
01/11/2025,Quintin,Progressive,progressive,0
01/11/2025,Trunoe,Alliance,alliance,0
01/11/2025,Trunoe,Liberal,liberal,0
01/11/2025,Trunoe,Labour,labour,0
01/11/2025,Trunoe,Progressive,progressive,0
01/11/2025,National Popular Vote,Alliance,alliance,32.2
01/11/2025,National Popular Vote,Liberal,liberal,27.12
01/11/2025,National Popular Vote,Labour,labour,20.34
01/11/2025,National Popular Vote,Progressive,progressive,20.34
02/10/2025,Alvana,Alliance,alliance,5
02/10/2025,Alvana,Liberal,liberal,25
02/10/2025,Alvana,Labour,labour,33.33
02/10/2025,Alvana,Progressive,progressive,16.67
02/10/2025,Brunix Islands,Alliance,alliance,36.36
02/10/2025,Brunix Islands,Liberal,liberal,45.45
02/10/2025,Brunix Islands,Labour,labour,0
02/10/2025,Brunix Islands,Progressive,progressive,18.18
02/10/2025,Dalminica,Alliance,alliance,42.86
02/10/2025,Dalminica,Liberal,liberal,28.57
02/10/2025,Dalminica,Labour,labour,14.29
02/10/2025,Dalminica,Progressive,progressive,14.29
02/10/2025,Dentone,Alliance,alliance,57.14
02/10/2025,Dentone,Liberal,liberal,14.29
02/10/2025,Dentone,Labour,labour,14.29
02/10/2025,Dentone,Progressive,progressive,14.29
02/10/2025,Emix,Alliance,alliance,25
02/10/2025,Emix,Liberal,liberal,33.331
02/10/2025,Emix,Labour,labour,33.33
02/10/2025,Emix,Progressive,progressive,8.33
02/10/2025,Garvor,Alliance,alliance,20
02/10/2025,Garvor,Liberal,liberal,60
02/10/2025,Garvor,Labour,labour,10
02/10/2025,Garvor,Progressive,progressive,10
02/10/2025,Quintin,Alliance,alliance,28.57
02/10/2025,Quintin,Liberal,liberal,0
02/10/2025,Quintin,Labour,labour,57.14
