date,region,candidate,party,runoff,voteshare
8/21/2024,Alvana,BlockyBeach,alliance,FALSE,50.00
8/21/2024,Alvana,Nath,liberal,FALSE,25.00
8/21/2024,Alvana,Sonia Gandhi,labour,FALSE,25.00
8/21/2024,Brunix Islands,BlockyBeach,alliance,FALSE,33.33
8/21/2024,Brunix Islands,Nath,liberal,FALSE,66.67
8/21/2024,Brunix Islands,Sonia Gandhi,labour,FALSE,0.00
8/21/2024,Dalminica,BlockyBeach,alliance,FALSE,49.99
8/21/2024,Dalminica,Nath,liberal,FALSE,0.00
8/21/2024,Dalminica,Sonia Gandhi,labour,FALSE,50.01
8/21/2024,Dentone,BlockyBeach,alliance,FALSE,39.99
8/21/2024,Dentone,Nath,liberal,FALSE,20.00
8/21/2024,Dentone,Sonia Gandhi,labour,FALSE,40.01
8/21/2024,Emix,BlockyBeach,alliance,FALSE,0.00
8/21/2024,Emix,Nath,liberal,FALSE,75.00
8/21/2024,Emix,Sonia Gandhi,labour,FALSE,25.00
8/21/2024,Garvor,BlockyBeach,alliance,FALSE,16.67
8/21/2024,Garvor,Nath,liberal,FALSE,66.67
8/21/2024,Garvor,Sonia Gandhi,labour,FALSE,16.67
8/21/2024,Quintin,BlockyBeach,alliance,FALSE,20.00
8/21/2024,Quintin,Nath,liberal,FALSE,0.00
8/21/2024,Quintin,Sonia Gandhi,labour,FALSE,80.00
8/21/2024,Trunoe,BlockyBeach,alliance,FALSE,25.00
8/21/2024,Trunoe,Nath,liberal,FALSE,0.00
8/21/2024,Trunoe,Sonia Gandhi,labour,FALSE,75.00
8/21/2024,National Popular Vote,BlockyBeach,alliance,FALSE,28.57
8/21/2024,National Popular Vote,Nath,liberal,FALSE,31.43
8/21/2024,National Popular Vote,Sonia Gandhi,labour,FALSE,40.00
8/21/2024,Alvana,Nath,liberal,TRUE,25.00
8/21/2024,Alvana,Sonia Gandhi,labour,TRUE,75.00
8/21/2024,Brunix Islands,Nath,liberal,TRUE,66.67
8/21/2024,Brunix Islands,Sonia Gandhi,labour,TRUE,33.33
8/21/2024,Dalminica,Nath,liberal,TRUE,49.99
8/21/2024,Dalminica,Sonia Gandhi,labour,TRUE,50.01
8/21/2024,Dentone,Nath,liberal,TRUE,49.99
8/21/2024,Dentone,Sonia Gandhi,labour,TRUE,50.01
8/21/2024,Emix,Nath,liberal,TRUE,75.00
8/21/2024,Emix,Sonia Gandhi,labour,TRUE,25.00
8/21/2024,Garvor,Nath,liberal,TRUE,66.67
8/21/2024,Garvor,Sonia Gandhi,labour,TRUE,33.33
8/21/2024,Quintin,Nath,liberal,TRUE,0.00
8/21/2024,Quintin,Sonia Gandhi,labour,TRUE,100.00
8/21/2024,Trunoe,Nath,liberal,TRUE,0.00
8/21/2024,Trunoe,Sonia Gandhi,labour,TRUE,100.00
8/21/2024,National Popular Vote,Nath,liberal,TRUE,42.42
8/21/2024,National Popular Vote,Sonia Gandhi,labour,TRUE,57.58
10/20/2024,Alvana,John McCain Fan,liberal,FALSE,33.35
10/20/2024,Alvana,Sonia Gandhi,labour,FALSE,33.32
10/20/2024,Alvana,How Do I Type,alliance,FALSE,33.32
10/20/2024,Alvana,Cob,independent,FALSE,0.00
10/20/2024,Brunix Islands,John McCain Fan,liberal,FALSE,66.67
10/20/2024,Brunix Islands,Sonia Gandhi,labour,FALSE,16.67
10/20/2024,Brunix Islands,How Do I Type,alliance,FALSE,16.67
10/20/2024,Brunix Islands,Cob,independent,FALSE,0.00
10/20/2024,Dalminica,John McCain Fan,liberal,FALSE,100.00
10/20/2024,Dalminica,Sonia Gandhi,labour,FALSE,0.00
10/20/2024,Dalminica,How Do I Type,alliance,FALSE,0.00
10/20/2024,Dalminica,Cob,independent,FALSE,0.00
10/20/2024,Dentone,John McCain Fan,liberal,FALSE,40.01
10/20/2024,Dentone,Sonia Gandhi,labour,FALSE,20.00
10/20/2024,Dentone,How Do I Type,alliance,FALSE,39.99
10/20/2024,Dentone,Cob,independent,FALSE,0.00
10/20/2024,Emix,John McCain Fan,liberal,FALSE,50.01
10/20/2024,Emix,Sonia Gandhi,labour,FALSE,0.00
10/20/2024,Emix,How Do I Type,alliance,FALSE,0.00
10/20/2024,Emix,Cob,independent,FALSE,49.99
10/20/2024,Garvor,John McCain Fan,liberal,FALSE,50.00
10/20/2024,Garvor,Sonia Gandhi,labour,FALSE,33.33
10/20/2024,Garvor,How Do I Type,alliance,FALSE,0.00
10/20/2024,Garvor,Cob,independent,FALSE,16.67
10/20/2024,Quintin,John McCain Fan,liberal,FALSE,0.00
10/20/2024,Quintin,Sonia Gandhi,labour,FALSE,80.00
10/20/2024,Quintin,How Do I Type,alliance,FALSE,20.00
10/20/2024,Quintin,Cob,independent,FALSE,0.00
10/20/2024,Trunoe,John McCain Fan,liberal,FALSE,0.00
10/20/2024,Trunoe,Sonia Gandhi,labour,FALSE,66.67
10/20/2024,Trunoe,How Do I Type,alliance,FALSE,0.00
10/20/2024,Trunoe,Cob,independent,FALSE,33.33
10/20/2024,National Popular Vote,John McCain Fan,liberal,FALSE,41.18
10/20/2024,National Popular Vote,Sonia Gandhi,labour,FALSE,32.35
10/20/2024,National Popular Vote,How Do I Type,alliance,FALSE,14.71
10/20/2024,National Popular Vote,Cob,independent,FALSE,11.76
10/20/2024,Alvana,John McCain Fan,liberal,TRUE,33.33
10/20/2024,Alvana,Sonia Gandhi,labour,TRUE,66.67
10/20/2024,Brunix Islands,John McCain Fan,liberal,TRUE,66.67
10/20/2024,Brunix Islands,Sonia Gandhi,labour,TRUE,33.33
10/20/2024,Dalminica,John McCain Fan,liberal,TRUE,100.00
10/20/2024,Dalminica,Sonia Gandhi,labour,TRUE,0.00
10/20/2024,Dentone,John McCain Fan,liberal,TRUE,60.00
10/20/2024,Dentone,Sonia Gandhi,labour,TRUE,40.00
10/20/2024,Emix,John McCain Fan,liberal,TRUE,75.00
10/20/2024,Emix,Sonia Gandhi,labour,TRUE,25.00
10/20/2024,Garvor,John McCain Fan,liberal,TRUE,66.67
10/20/2024,Garvor,Sonia Gandhi,labour,TRUE,33.33
10/20/2024,Quintin,John McCain Fan,liberal,TRUE,0.00
10/20/2024,Quintin,Sonia Gandhi,labour,TRUE,100.00
10/20/2024,Trunoe,John McCain Fan,liberal,TRUE,33.33
10/20/2024,Trunoe,Sonia Gandhi,labour,TRUE,66.67
10/20/2024,National Popular Vote,John McCain Fan,liberal,TRUE,52.94
10/20/2024,National Popular Vote,Sonia Gandhi,labour,TRUE,47.06
12/15/2024,Alvana,Deet,alliance,FALSE,83.33
12/15/2024,Alvana,Virt,liberal,FALSE,16.67
12/15/2024,Alvana,Allric,independent,FALSE,0.00
12/15/2024,Brunix Islands,Deet,alliance,FALSE,50.00
12/15/2024,Brunix Islands,Virt,liberal,FALSE,37.50
12/15/2024,Brunix Islands,Allric,independent,FALSE,12.50
12/15/2024,Dalminica,Deet,alliance,FALSE,33.33
12/15/2024,Dalminica,Virt,liberal,FALSE,66.67
12/15/2024,Dalminica,Allric,independent,FALSE,0.00
12/15/2024,Dentone,Deet,alliance,FALSE,66.67
12/15/2024,Dentone,Virt,liberal,FALSE,33.33
12/15/2024,Dentone,Allric,independent,FALSE,0.00
12/15/2024,Emix,Deet,alliance,FALSE,40.00
12/15/2024,Emix,Virt,liberal,FALSE,60.00
12/15/2024,Emix,Allric,independent,FALSE,0.00
12/15/2024,Garvor,Deet,alliance,FALSE,28.57
12/15/2024,Garvor,Virt,liberal,FALSE,71.43
12/15/2024,Garvor,Allric,independent,FALSE,0.00
12/15/2024,Quintin,Deet,alliance,FALSE,100.00
12/15/2024,Quintin,Virt,liberal,FALSE,0.00
12/15/2024,Quintin,Allric,independent,FALSE,0.00
