date,region,special,runoff,offyear,disabled,candidate,party,voteshare
8/8/2021,Alabama,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.15
8/8/2021,Alaska,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.15
8/8/2021,Arizona,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.01
8/8/2021,Arkansas,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.15
8/8/2021,California,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.05
8/8/2021,Colorado,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.15
8/8/2021,Connecticut,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.15
8/8/2021,Delaware,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.01
8/8/2021,Florida,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.05
8/8/2021,Georgia,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.001
8/8/2021,Hawaii,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.15
8/8/2021,Idaho,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.15
8/8/2021,Illinois,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.15
8/8/2021,Indiana,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.01
8/8/2021,Iowa,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.05
8/8/2021,Kansas,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.01
8/8/2021,Kentucky,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.01
8/8/2021,Louisiana,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.01
8/8/2021,Maine,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.01
8/8/2021,Maryland,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.15
8/8/2021,Massachusetts,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.15
8/8/2021,Michigan,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.01
8/8/2021,Minnesota,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.01
8/8/2021,Mississippi,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.01
8/8/2021,Missouri,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.01
