date,region,state_po,special,runoff,offyear,candidate,party,writein,voteshare,
11/03/1980,Alaska,AK,FALSE,FALSE,TRUE,Hammond,republican,FALSE,1.01,
11/03/1980,Alabama,AL,FALSE,FALSE,TRUE,James,democratic,FALSE,1.01,
11/03/1980,Arkansas,AR,FALSE,FALSE,TRUE,Clinton,democratic,FALSE,1.01,
11/03/1980,Arizona,AZ,FALSE,FALSE,TRUE,Babbitt,democratic,FALSE,1.01,
11/03/1980,California,CA,FALSE,FALSE,TRUE,Brown,democratic,FALSE,1.01,
11/03/1980,Colorado,CO,FALSE,FALSE,TRUE,Lamm,democratic,FALSE,1.01,
11/03/1980,Connecticut,CT,FALSE,FALSE,TRUE,Grasso,democratic,FALSE,1.01,
11/03/1980,Delaware,DE,FALSE,FALSE,TRUE,du Pont,republican,FALSE,1.01,
11/03/1980,Florida,FL,FALSE,FALSE,TRUE,Graham,democratic,FALSE,1.01,
11/03/1980,Georgia,GA,FALSE,FALSE,TRUE,Busbee,democratic,FALSE,1.01,
11/03/1980,Hawaii,HI,FALSE,FALSE,TRUE,Ariyoshi,democratic,FALSE,1.01,
11/03/1980,Iowa,IA,FALSE,FALSE,TRUE,Ray,republican,FALSE,1.01,
11/03/1980,Idaho,ID,FALSE,FALSE,TRUE,Evans,democratic,FALSE,1.01,
11/03/1980,Illinois,IL,FALSE,FALSE,TRUE,Thompson,republican,FALSE,1.01,
11/03/1980,Indiana,IN,FALSE,FALSE,TRUE,Bowen,republican,FALSE,1.01,
11/03/1980,Kansas,KS,FALSE,FALSE,TRUE,Carlin,democratic,FALSE,1.01,
11/03/1980,Kentucky,KY,FALSE,FALSE,TRUE,Brown,democratic,FALSE,1.01,
11/03/1980,Louisiana,LA,FALSE,FALSE,TRUE,Treen,republican,FALSE,1.01,
11/03/1980,Massachusetts,MA,FALSE,FALSE,TRUE,King,democratic,FALSE,1.01,
11/03/1980,Maryland,MD,FALSE,FALSE,TRUE,Hughes,democratic,FALSE,1.01,
11/03/1980,Maine,ME,FALSE,FALSE,TRUE,Brennan,democratic,FALSE,1.01,
11/03/1980,Michigan,MI,FALSE,FALSE,TRUE,Milliken,republican,FALSE,1.01,
11/03/1980,Minnesota,MN,FALSE,FALSE,TRUE,Quie,republican,FALSE,1.01,
11/03/1980,Missouri,MO,FALSE,FALSE,TRUE,Teasdale,democratic,FALSE,1.01,
11/03/1980,Mississippi,MS,FALSE,FALSE,TRUE,Winter,democratic,FALSE,1.01,
11/03/1980,Montana,MT,FALSE,FALSE,TRUE,Judge,democratic,FALSE,1.01,
11/03/1980,North Carolina,NC,FALSE,FALSE,TRUE,Hunt,democratic,FALSE,1.01,
11/03/1980,North Dakota,ND,FALSE,FALSE,TRUE,Link,democratic,FALSE,1.01,
11/03/1980,Nebraska,NE,FALSE,FALSE,TRUE,Thone,republican,FALSE,1.01,
11/03/1980,New Hampshire,NH,FALSE,FALSE,TRUE,Gallen,democratic,FALSE,1.01,
11/03/1980,New Jersey,NJ,FALSE,FALSE,TRUE,Byrne,democratic,FALSE,1.01,
11/03/1980,New Mexico,NM,FALSE,FALSE,TRUE,King,democratic,FALSE,1.01,
11/03/1980,Nevada,NV,FALSE,FALSE,TRUE,List,republican,FALSE,1.01,
11/03/1980,New York,NY,FALSE,FALSE,TRUE,Carey,democratic,FALSE,1.01,
11/03/1980,Ohio,OH,FALSE,FALSE,TRUE,Rhodes,republican,FALSE,1.01,
11/03/1980,Oklahoma,OK,FALSE,FALSE,TRUE,Nigh,democratic,FALSE,1.01,
11/03/1980,Oregon,OR,FALSE,FALSE,TRUE,Atiyeh,republican,FALSE,1.01,
11/03/1980,Pennsylvania,PA,FALSE,FALSE,TRUE,Thornburgh,republican,FALSE,1.01,
