year,state_po,district,candidate,party,voteshare
1976,AL,1,Davenport,democrat,37.480832
1976,AL,1,Edwards,republican,62.519168
1976,AL,2,Keahey,democrat,42.395288
1976,AL,2,Dickinson,republican,57.602870
1976,AL,3,Nichols,democrat,98.971734
1976,AL,3,Gardner,prohibition,1.028247
1976,AL,4,Bevill,democrat,80.382454
1976,AL,4,Wilson,republican,19.617546
1976,AL,5,Flippo,democrat,100.000000
1976,AL,6,Dorsey,national democrat,0.628238
1976,AL,6,Bailey,democrat,42.693117
1976,AL,6,Buchanan,republican,56.678645
1976,AL,7,Flowers,democrat,100.000000
1976,AK,0,Young,republican,71.001391
1976,AK,0,Hopson,democrat,28.926976
1976,AZ,1,Braun,independent,0.618609
1976,AZ,1,Rhodes,republican,57.338552
1976,AZ,1,Dodge,libertarian,1.354993
1976,AZ,1,Fullinwider,democrat,40.687846
1976,AZ,2,Guttersen,republican,39.403606
1976,AZ,2,Emerling,libertarian,2.365918
1976,AZ,2,Udall,democrat,58.230475
1976,AZ,3,McCune,independent,10.231080
1976,AZ,3,Stump,democrat,47.473620
1976,AZ,3,Koory,republican,42.295301
1976,AZ,4,Harper,libertarian,3.132209
1976,AZ,4,Rudd,republican,48.621536
1976,AZ,4,Mason,democrat,48.246255
1976,AR,1,Holleman,republican,31.143724
1976,AR,1,Alexander,democrat,68.856276
1976,AR,2,Tucker,democrat,86.384764
1976,AR,2,Kelly,republican,13.614587
1976,AR,3,Hammerschmidt,republican,100.000000
1976,AR,4,Thornton,democrat,100.000000
1976,CA,1,Taylor,republican,26.052918
1976,CA,1,Johnson,democrat,73.947082
1976,CA,2,Allred,peace and freedom,2.975578
1976,CA,2,Klee,democrat,41.017625
1976,CA,2,Clausen,republican,56.006797
1976,CA,3,Marsh,republican,27.143036
1976,CA,3,Moss,democrat,72.856964
1976,CA,4,Dehr,republican,49.784490
1976,CA,4,Leggett,democrat,50.215510
1976,CA,5,Fanning,republican,38.155871
1976,CA,5,Burton,democrat,61.844129
1976,CA,6,Heaps,american independent,1.905038
1976,CA,6,Spinosa,republican,27.008922
1976,CA,6,Siegel,peace and freedom,5.018485
1976,CA,6,Burton,democrat,66.067555
1976,CA,7,Vickers,republican,23.302475
1976,CA,7,Miller,democrat,74.721567
1976,CA,7,Stanley,american independent,1.975957
1976,CA,8,Evans,peace and freedom,3.167237
1976,CA,8,Breck,republican,34.715720
1976,CA,8,Dellums,democrat,62.117043
1976,CA,9,Stark,democrat,70.805579
1976,CA,9,Mills,republican,27.134697
1976,CA,9,Sargis,peace and freedom,2.059723
1976,CA,10,Smith,republican,24.502872
1976,CA,10,Kaiser,american independent,3.450139
1976,CA,10,Edwards,democrat,72.046988
1976,CA,11,Ryan,democrat,61.079265
1976,CA,11,Kudrovzeff,american independent,3.485363
1976,CA,11,Jones,republican,35.435372
1976,CA,12,Harris,democrat,31.254159
1976,CA,12,Cooney,american independent,2.539407
1976,CA,12,McCloskey,republican,66.206434
1976,CA,13,Konnyu,republican,31.158229
1976,CA,13,Herrell,american independent,2.068002
1976,CA,13,Mineta,democrat,66.773768
1976,CA,14,McFall,democrat,72.538083
1976,CA,14,Blain,republican,27.461917
1976,CA,15,Sisk,democrat,72.203839
1976,CA,15,Harner,republican,27.796161
1976,CA,16,Talcott,republican,46.580312
1976,CA,16,Panetta,democrat,53.419688
1976,CA,17,Krebs,democrat,65.688382
1976,CA,17,Andreas,republican,34.311618
1976,CA,18,Close,democrat,35.798056
1976,CA,18,Ketchum,republican,64.201944
1976,CA,19,Sisson,democrat,35.621466
1976,CA,19,Lagomarsino,republican,64.378534
1976,CA,20,Goldwater,republican,67.245147
1976,CA,20,Corman,democrat,32.754853
1976,CA,21,Corman,democrat,66.512746
1976,CA,21,Hill,peace and freedom,4.688163
1976,CA,21,Hogan,republican,28.799091
1976,CA,22,Moorhead,republican,62.608558
1976,CA,22,Salley,democrat,37.391442
1976,CA,23,Bartman,republican,39.821610
1976,CA,23,Beilenson,democrat,60.178390
1976,CA,24,Simmons,republican,32.219260
1976,CA,24,Waxman,democrat,67.780740
1976,CA,25,Madrid,republican,21.999380
1976,CA,25,Seals,peace and freedom,6.104806
1976,CA,25,Roybal,democrat,71.895814
1976,CA,26,Rousselot,republican,65.585981
1976,CA,26,Latta,democrat,34.414019
1976,CA,27,Familian,democrat,45.316324
1976,CA,27,Dornan,republican,54.683676
1976,CA,28,Skinner,republican,19.804079
