date,state,county,candidate,party,candidatevotes,totalvotes
11/8/1960,AK,Aleutians_East,Kennedy,democrat,169,241
11/8/1960,AK,Aleutians_East,Nixon,republican,72,241
11/8/1960,AK,Aleutians_East,Byrd,southern democrat,0,241
11/8/1960,AK,Aleutians_East,Faubus,independent,0,241
11/8/1960,AK,Aleutians_East,Other,other,0,241
11/8/1960,AK,Aleutians_West,Kennedy,democrat,225,315
11/8/1960,AK,Aleutians_West,Nixon,republican,90,315
11/8/1960,AK,Aleutians_West,Byrd,southern democrat,0,315
11/8/1960,AK,Aleutians_West,Faubus,independent,0,315
11/8/1960,AK,Aleutians_West,Other,other,0,315
11/8/1960,AK,Anchorage,Kennedy,democrat,9581,20700
11/8/1960,AK,Anchorage,Nixon,republican,11119,20700
11/8/1960,AK,Anchorage,Byrd,southern democrat,0,20700
11/8/1960,AK,Anchorage,Faubus,independent,0,20700
11/8/1960,AK,Anchorage,Other,other,0,20700
11/8/1960,AK,Bethel,Kennedy,democrat,381,1167
11/8/1960,AK,Bethel,Nixon,republican,786,1167
11/8/1960,AK,Bethel,Byrd,southern democrat,0,1167
11/8/1960,AK,Bethel,Faubus,independent,0,1167
11/8/1960,AK,Bethel,Other,other,0,1167
11/8/1960,AK,Bristol_Bay,Kennedy,democrat,197,280
11/8/1960,AK,Bristol_Bay,Nixon,republican,83,280
11/8/1960,AK,Bristol_Bay,Byrd,southern democrat,0,280
11/8/1960,AK,Bristol_Bay,Faubus,independent,0,280
11/8/1960,AK,Bristol_Bay,Other,other,0,280
11/8/1960,AK,Valdez-Cordova,Kennedy,democrat,728,1421
11/8/1960,AK,Valdez-Cordova,Nixon,republican,693,1421
11/8/1960,AK,Valdez-Cordova,Byrd,southern democrat,0,1421
11/8/1960,AK,Valdez-Cordova,Faubus,independent,0,1421
11/8/1960,AK,Valdez-Cordova,Other,other,0,1421
11/8/1960,AK,Copper_River,Kennedy,democrat,201,370
11/8/1960,AK,Copper_River,Nixon,republican,169,370
11/8/1960,AK,Copper_River,Byrd,southern democrat,0,370
11/8/1960,AK,Copper_River,Faubus,independent,0,370
11/8/1960,AK,Copper_River,Other,other,0,370
11/8/1960,AK,Denali,Kennedy,democrat,109,176
11/8/1960,AK,Denali,Nixon,republican,67,176
11/8/1960,AK,Denali,Byrd,southern democrat,0,176
11/8/1960,AK,Denali,Faubus,independent,0,176
11/8/1960,AK,Denali,Other,other,0,176
11/8/1960,AK,Dillingham,Kennedy,democrat,276,468
11/8/1960,AK,Dillingham,Nixon,republican,192,468
11/8/1960,AK,Dillingham,Byrd,southern democrat,0,468
11/8/1960,AK,Dillingham,Faubus,independent,0,468
11/8/1960,AK,Dillingham,Other,other,0,468
11/8/1960,AK,Fairbanks_North_Star,Kennedy,democrat,4068,7888
11/8/1960,AK,Fairbanks_North_Star,Nixon,republican,3820,7888
11/8/1960,AK,Fairbanks_North_Star,Byrd,southern democrat,0,7888
11/8/1960,AK,Fairbanks_North_Star,Faubus,independent,0,7888
11/8/1960,AK,Fairbanks_North_Star,Other,other,0,7888
11/8/1960,AK,Haines,Kennedy,democrat,124,277
11/8/1960,AK,Haines,Nixon,republican,153,277
11/8/1960,AK,Haines,Byrd,southern democrat,0,277
11/8/1960,AK,Haines,Faubus,independent,0,277
11/8/1960,AK,Haines,Other,other,0,277
11/8/1960,AK,Juneau,Kennedy,democrat,2105,4435
11/8/1960,AK,Juneau,Nixon,republican,2330,4435
11/8/1960,AK,Juneau,Byrd,southern democrat,0,4435
11/8/1960,AK,Juneau,Faubus,independent,0,4435
11/8/1960,AK,Juneau,Other,other,0,4435
11/8/1960,AK,Kenai_Peninsula,Kennedy,democrat,1754,3327
11/8/1960,AK,Kenai_Peninsula,Nixon,republican,1573,3327
11/8/1960,AK,Kenai_Peninsula,Byrd,southern democrat,0,3327
11/8/1960,AK,Kenai_Peninsula,Faubus,independent,0,3327
11/8/1960,AK,Kenai_Peninsula,Other,other,0,3327
11/8/1960,AK,Ketchikan_Gateway,Kennedy,democrat,1729,3640
11/8/1960,AK,Ketchikan_Gateway,Nixon,republican,1911,3640
11/8/1960,AK,Ketchikan_Gateway,Byrd,southern democrat,0,3640
11/8/1960,AK,Ketchikan_Gateway,Faubus,independent,0,3640
11/8/1960,AK,Ketchikan_Gateway,Other,other,0,3640
11/8/1960,AK,Kodiak_Island,Kennedy,democrat,867,1498
11/8/1960,AK,Kodiak_Island,Nixon,republican,631,1498
11/8/1960,AK,Kodiak_Island,Byrd,southern democrat,0,1498
11/8/1960,AK,Kodiak_Island,Faubus,independent,0,1498
11/8/1960,AK,Kodiak_Island,Other,other,0,1498
11/8/1960,AK,Wade_Hampton,Kennedy,democrat,291,442
11/8/1960,AK,Wade_Hampton,Nixon,republican,151,442
11/8/1960,AK,Wade_Hampton,Byrd,southern democrat,0,442
11/8/1960,AK,Wade_Hampton,Faubus,independent,0,442
11/8/1960,AK,Wade_Hampton,Other,other,0,442
11/8/1960,AK,Lake_and_Peninsula,Kennedy,democrat,211,332
11/8/1960,AK,Lake_and_Peninsula,Nixon,republican,121,332
11/8/1960,AK,Lake_and_Peninsula,Byrd,southern democrat,0,332
11/8/1960,AK,Lake_and_Peninsula,Faubus,independent,0,332
11/8/1960,AK,Lake_and_Peninsula,Other,other,0,332
11/8/1960,AK,Matanuska-Susitna,Kennedy,democrat,1054,2207
11/8/1960,AK,Matanuska-Susitna,Nixon,republican,1153,2207
11/8/1960,AK,Matanuska-Susitna,Byrd,southern democrat,0,2207
11/8/1960,AK,Matanuska-Susitna,Faubus,independent,0,2207
11/8/1960,AK,Matanuska-Susitna,Other,other,0,2207
11/8/1960,AK,Nome,Kennedy,democrat,791,1799
11/8/1960,AK,Nome,Nixon,republican,1008,1799
11/8/1960,AK,Nome,Byrd,southern democrat,0,1799
11/8/1960,AK,Nome,Faubus,independent,0,1799
11/8/1960,AK,Nome,Other,other,0,1799
11/8/1960,AK,North_Slope,Kennedy,democrat,533,881
11/8/1960,AK,North_Slope,Nixon,republican,348,881
11/8/1960,AK,North_Slope,Byrd,southern democrat,0,881
11/8/1960,AK,North_Slope,Faubus,independent,0,881
11/8/1960,AK,North_Slope,Other,other,0,881
11/8/1960,AK,Northwest_Arctic,Kennedy,democrat,249,802
11/8/1960,AK,Northwest_Arctic,Nixon,republican,553,802
11/8/1960,AK,Northwest_Arctic,Byrd,southern democrat,0,802
11/8/1960,AK,Northwest_Arctic,Faubus,independent,0,802
11/8/1960,AK,Northwest_Arctic,Other,other,0,802
11/8/1960,AK,Prince_of_Wales-Outer_Ketchikan,Kennedy,democrat,566,1039
11/8/1960,AK,Prince_of_Wales-Outer_Ketchikan,Nixon,republican,473,1039
11/8/1960,AK,Prince_of_Wales-Outer_Ketchikan,Byrd,southern democrat,0,1039
11/8/1960,AK,Prince_of_Wales-Outer_Ketchikan,Faubus,independent,0,1039
11/8/1960,AK,Prince_of_Wales-Outer_Ketchikan,Other,other,0,1039
11/8/1960,AK,Sitka,Kennedy,democrat,1139,2122
11/8/1960,AK,Sitka,Nixon,republican,983,2122
11/8/1960,AK,Sitka,Byrd,southern democrat,0,2122
11/8/1960,AK,Sitka,Faubus,independent,0,2122
11/8/1960,AK,Sitka,Other,other,0,2122
11/8/1960,AK,Skagway-Hoonah-Angoon,Kennedy,democrat,566,966
11/8/1960,AK,Skagway-Hoonah-Angoon,Nixon,republican,400,966
11/8/1960,AK,Skagway-Hoonah-Angoon,Byrd,southern democrat,0,966
11/8/1960,AK,Skagway-Hoonah-Angoon,Faubus,independent,0,966
11/8/1960,AK,Skagway-Hoonah-Angoon,Other,other,0,966
11/8/1960,AK,Southeast_Fairbanks,Kennedy,democrat,297,662
11/8/1960,AK,Southeast_Fairbanks,Nixon,republican,365,662
11/8/1960,AK,Southeast_Fairbanks,Byrd,southern democrat,0,662
11/8/1960,AK,Southeast_Fairbanks,Faubus,independent,0,662
11/8/1960,AK,Southeast_Fairbanks,Other,other,0,662
11/8/1960,AK,Wrangell-Petersburg,Kennedy,democrat,640,1391
11/8/1960,AK,Wrangell-Petersburg,Nixon,republican,751,1391
11/8/1960,AK,Wrangell-Petersburg,Byrd,southern democrat,0,1391
11/8/1960,AK,Wrangell-Petersburg,Faubus,independent,0,1391
11/8/1960,AK,Wrangell-Petersburg,Other,other,0,1391
11/8/1960,AK,Yakutat,Kennedy,democrat,73,132
11/8/1960,AK,Yakutat,Nixon,republican,59,132
11/8/1960,AK,Yakutat,Byrd,southern democrat,0,132
11/8/1960,AK,Yakutat,Faubus,independent,0,132
11/8/1960,AK,Yakutat,Other,other,0,132
11/8/1960,AK,Yukon-Koyukuk,Kennedy,democrat,1086,2155
11/8/1960,AK,Yukon-Koyukuk,Nixon,republican,1069,2155
11/8/1960,AK,Yukon-Koyukuk,Byrd,southern democrat,0,2155
11/8/1960,AK,Yukon-Koyukuk,Faubus,independent,0,2155
11/8/1960,AK,Yukon-Koyukuk,Other,other,0,2155
11/8/1960,AL,Autauga,Kennedy,democrat,1324,2618
11/8/1960,AL,Autauga,Nixon,republican,1149,2618
11/8/1960,AL,Autauga,Byrd,southern democrat,65,2618
11/8/1960,AL,Autauga,Faubus,independent,56,2618
11/8/1960,AL,Autauga,Other,other,24,2618
11/8/1960,AL,Baldwin,Kennedy,democrat,5647,10791
11/8/1960,AL,Baldwin,Nixon,republican,4812,10791
11/8/1960,AL,Baldwin,Byrd,southern democrat,177,10791
11/8/1960,AL,Baldwin,Faubus,independent,145,10791
11/8/1960,AL,Baldwin,Other,other,10,10791
11/8/1960,AL,Barbour,Kennedy,democrat,2148,3366
11/8/1960,AL,Barbour,Nixon,republican,1166,3366
11/8/1960,AL,Barbour,Byrd,southern democrat,18,3366
11/8/1960,AL,Barbour,Faubus,independent,15,3366
11/8/1960,AL,Barbour,Other,other,19,3366
11/8/1960,AL,Bibb,Kennedy,democrat,1697,2756
11/8/1960,AL,Bibb,Nixon,republican,1052,2756
11/8/1960,AL,Bibb,Byrd,southern democrat,4,2756
11/8/1960,AL,Bibb,Faubus,independent,3,2756
11/8/1960,AL,Bibb,Other,other,0,2756
11/8/1960,AL,Blount,Kennedy,democrat,3404,5989
11/8/1960,AL,Blount,Nixon,republican,2557,5989
11/8/1960,AL,Blount,Byrd,southern democrat,13,5989
11/8/1960,AL,Blount,Faubus,independent,9,5989
11/8/1960,AL,Blount,Other,other,6,5989
11/8/1960,AL,Bullock,Kennedy,democrat,757,1176
11/8/1960,AL,Bullock,Nixon,republican,412,1176
11/8/1960,AL,Bullock,Byrd,southern democrat,5,1176
11/8/1960,AL,Bullock,Faubus,independent,1,1176
11/8/1960,AL,Bullock,Other,other,1,1176
11/8/1960,AL,Butler,Kennedy,democrat,2872,4134
11/8/1960,AL,Butler,Nixon,republican,1231,4134
11/8/1960,AL,Butler,Byrd,southern democrat,18,4134
11/8/1960,AL,Butler,Faubus,independent,11,4134
11/8/1960,AL,Butler,Other,other,2,4134
11/8/1960,AL,Calhoun,Kennedy,democrat,9590,14721
11/8/1960,AL,Calhoun,Nixon,republican,4821,14721
11/8/1960,AL,Calhoun,Byrd,southern democrat,125,14721
11/8/1960,AL,Calhoun,Faubus,independent,92,14721
11/8/1960,AL,Calhoun,Other,other,93,14721
11/8/1960,AL,Chambers,Kennedy,democrat,5165,7187
11/8/1960,AL,Chambers,Nixon,republican,1865,7187
11/8/1960,AL,Chambers,Byrd,southern democrat,71,7187
11/8/1960,AL,Chambers,Faubus,independent,40,7187
11/8/1960,AL,Chambers,Other,other,46,7187
11/8/1960,AL,Cherokee,Kennedy,democrat,3097,3981
11/8/1960,AL,Cherokee,Nixon,republican,872,3981
11/8/1960,AL,Cherokee,Byrd,southern democrat,4,3981
11/8/1960,AL,Cherokee,Faubus,independent,3,3981
11/8/1960,AL,Cherokee,Other,other,5,3981
11/8/1960,AL,Chilton,Kennedy,democrat,1798,5023
11/8/1960,AL,Chilton,Nixon,republican,3201,5023
11/8/1960,AL,Chilton,Byrd,southern democrat,8,5023
11/8/1960,AL,Chilton,Faubus,independent,5,5023
11/8/1960,AL,Chilton,Other,other,11,5023
11/8/1960,AL,Choctaw,Kennedy,democrat,1094,1895
11/8/1960,AL,Choctaw,Nixon,republican,612,1895
11/8/1960,AL,Choctaw,Byrd,southern democrat,92,1895
11/8/1960,AL,Choctaw,Faubus,independent,63,1895
11/8/1960,AL,Choctaw,Other,other,34,1895
11/8/1960,AL,Clarke,Kennedy,democrat,1878,4033
11/8/1960,AL,Clarke,Nixon,republican,2016,4033
11/8/1960,AL,Clarke,Byrd,southern democrat,73,4033
11/8/1960,AL,Clarke,Faubus,independent,47,4033
11/8/1960,AL,Clarke,Other,other,19,4033
11/8/1960,AL,Clay,Kennedy,democrat,1743,3330
11/8/1960,AL,Clay,Nixon,republican,1548,3330
11/8/1960,AL,Clay,Byrd,southern democrat,23,3330
11/8/1960,AL,Clay,Faubus,independent,16,3330
11/8/1960,AL,Clay,Other,other,0,3330
11/8/1960,AL,Cleburne,Kennedy,democrat,1510,2532
11/8/1960,AL,Cleburne,Nixon,republican,1008,2532
11/8/1960,AL,Cleburne,Byrd,southern democrat,4,2532
11/8/1960,AL,Cleburne,Faubus,independent,2,2532
11/8/1960,AL,Cleburne,Other,other,8,2532
11/8/1960,AL,Coffee,Kennedy,democrat,4470,5885
11/8/1960,AL,Coffee,Nixon,republican,1381,5885
11/8/1960,AL,Coffee,Byrd,southern democrat,16,5885
11/8/1960,AL,Coffee,Faubus,independent,11,5885
11/8/1960,AL,Coffee,Other,other,7,5885
11/8/1960,AL,Colbert,Kennedy,democrat,7550,10659
11/8/1960,AL,Colbert,Nixon,republican,2815,10659
11/8/1960,AL,Colbert,Byrd,southern democrat,143,10659
11/8/1960,AL,Colbert,Faubus,independent,83,10659
11/8/1960,AL,Colbert,Other,other,68,10659
11/8/1960,AL,Conecuh,Kennedy,democrat,1815,2595
11/8/1960,AL,Conecuh,Nixon,republican,650,2595
11/8/1960,AL,Conecuh,Byrd,southern democrat,50,2595
11/8/1960,AL,Conecuh,Faubus,independent,30,2595
11/8/1960,AL,Conecuh,Other,other,50,2595
11/8/1960,AL,Coosa,Kennedy,democrat,1493,2590
11/8/1960,AL,Coosa,Nixon,republican,1073,2590
11/8/1960,AL,Coosa,Byrd,southern democrat,9,2590
11/8/1960,AL,Coosa,Faubus,independent,5,2590
11/8/1960,AL,Coosa,Other,other,10,2590
11/8/1960,AL,Covington,Kennedy,democrat,5744,7854
11/8/1960,AL,Covington,Nixon,republican,2047,7854
11/8/1960,AL,Covington,Byrd,southern democrat,33,7854
11/8/1960,AL,Covington,Faubus,independent,21,7854
11/8/1960,AL,Covington,Other,other,9,7854
11/8/1960,AL,Crenshaw,Kennedy,democrat,2923,3504
11/8/1960,AL,Crenshaw,Nixon,republican,573,3504
11/8/1960,AL,Crenshaw,Byrd,southern democrat,5,3504
11/8/1960,AL,Crenshaw,Faubus,independent,1,3504
11/8/1960,AL,Crenshaw,Other,other,2,3504
11/8/1960,AL,Cullman,Kennedy,democrat,6346,10621
11/8/1960,AL,Cullman,Nixon,republican,4248,10621
11/8/1960,AL,Cullman,Byrd,southern democrat,22,10621
11/8/1960,AL,Cullman,Faubus,independent,5,10621
11/8/1960,AL,Cullman,Other,other,0,10621
11/8/1960,AL,Dale,Kennedy,democrat,2563,4264
11/8/1960,AL,Dale,Nixon,republican,1634,4264
11/8/1960,AL,Dale,Byrd,southern democrat,21,4264
11/8/1960,AL,Dale,Faubus,independent,13,4264
11/8/1960,AL,Dale,Other,other,33,4264
11/8/1960,AL,Dallas,Kennedy,democrat,2103,5269
11/8/1960,AL,Dallas,Nixon,republican,2872,5269
11/8/1960,AL,Dallas,Byrd,southern democrat,69,5269
11/8/1960,AL,Dallas,Faubus,independent,60,5269
11/8/1960,AL,Dallas,Other,other,165,5269
11/8/1960,AL,DeKalb,Kennedy,democrat,5844,11471
11/8/1960,AL,DeKalb,Nixon,republican,5585,11471
11/8/1960,AL,DeKalb,Byrd,southern democrat,12,11471
11/8/1960,AL,DeKalb,Faubus,independent,7,11471
11/8/1960,AL,DeKalb,Other,other,23,11471
11/8/1960,AL,Elmore,Kennedy,democrat,3440,5470
11/8/1960,AL,Elmore,Nixon,republican,1919,5470
11/8/1960,AL,Elmore,Byrd,southern democrat,50,5470
11/8/1960,AL,Elmore,Faubus,independent,32,5470
11/8/1960,AL,Elmore,Other,other,29,5470
11/8/1960,AL,Escambia,Kennedy,democrat,3990,5983
11/8/1960,AL,Escambia,Nixon,republican,1810,5983
11/8/1960,AL,Escambia,Byrd,southern democrat,105,5983
11/8/1960,AL,Escambia,Faubus,independent,70,5983
11/8/1960,AL,Escambia,Other,other,8,5983
11/8/1960,AL,Etowah,Kennedy,democrat,14372,22009
11/8/1960,AL,Etowah,Nixon,republican,7128,22009
11/8/1960,AL,Etowah,Byrd,southern democrat,185,22009
