date,region,state_po,class,special,runoff,offyear,candidate,party,writein,voteshare,version
11/1/1960,Alabama,AL,3,TRUE,FALSE,TRUE,Hill,democratic,FALSE,1.01,JJCooley
11/1/1960,Alaska,AK,3,TRUE,FALSE,TRUE,Gruening,democratic,FALSE,1.01,JJCooley
11/1/1960,Arizona,AZ,1,FALSE,FALSE,TRUE,Goldwater,republican,FALSE,1.01,JJCooley
11/1/1960,Arizona,AZ,3,TRUE,FALSE,TRUE,Hayden,democratic,FALSE,1.01,JJCooley
11/1/1960,Arkansas,AR,3,TRUE,FALSE,TRUE,Fulbright,democratic,FALSE,1.01,JJCooley
11/1/1960,California,CA,1,FALSE,FALSE,TRUE,Engle,democratic,FALSE,1.01,JJCooley
11/1/1960,California,CA,3,TRUE,FALSE,TRUE,Kuchel,republican,FALSE,1.01,JJCooley
11/1/1960,Colorado,CO,3,TRUE,FALSE,TRUE,Carroll,democratic,FALSE,1.01,JJCooley
11/1/1960,Connecticut,CT,1,FALSE,FALSE,TRUE,Dodd,democratic,FALSE,1.01,JJCooley
11/1/1960,Connecticut,CT,3,TRUE,FALSE,TRUE,Bush,republican,FALSE,1.01,JJCooley
11/1/1960,Delaware,DE,1,FALSE,FALSE,TRUE,Williams,republican,FALSE,1.01,JJCooley
11/1/1960,Florida,FL,1,FALSE,FALSE,TRUE,Holland,democratic,FALSE,1.01,JJCooley
11/1/1960,Florida,FL,3,TRUE,FALSE,TRUE,Smathers,democratic,FALSE,1.01,JJCooley
11/1/1960,Georgia,GA,3,TRUE,FALSE,TRUE,Talmadge,democratic,FALSE,1.01,JJCooley
11/1/1960,Hawaii,HI,1,FALSE,FALSE,TRUE,Fong,republican,FALSE,1.01,JJCooley
11/1/1960,Hawaii,HI,3,TRUE,FALSE,TRUE,Long,democratic,FALSE,1.01,JJCooley
11/1/1960,Idaho,ID,3,TRUE,FALSE,TRUE,Church,democratic,FALSE,1.01,JJCooley
11/1/1960,Illinois,IL,3,TRUE,FALSE,TRUE,Dirksen,republican,FALSE,1.01,JJCooley
11/1/1960,Indiana,IN,1,FALSE,FALSE,TRUE,Hartke,democratic,FALSE,1.01,JJCooley
11/1/1960,Indiana,IN,3,TRUE,FALSE,TRUE,Capehart,republican,FALSE,1.01,JJCooley
11/1/1960,Iowa,IA,3,TRUE,FALSE,TRUE,Hickenlooper,republican,FALSE,1.01,JJCooley
11/1/1960,Kansas,KS,3,TRUE,FALSE,TRUE,Carlson,republican,FALSE,1.01,JJCooley
11/1/1960,Kentucky,KY,3,TRUE,FALSE,TRUE,Morton,republican,FALSE,1.01,JJCooley
11/1/1960,Louisiana,LA,3,TRUE,FALSE,TRUE,Long,democratic,FALSE,1.01,JJCooley
11/1/1960,Maine,ME,1,FALSE,FALSE,TRUE,Muskie,democratic,FALSE,1.01,JJCooley
11/1/1960,Maryland,MD,1,FALSE,FALSE,TRUE,Beall,republican,FALSE,1.01,JJCooley
11/1/1960,Maryland,MD,3,TRUE,FALSE,TRUE,Butler,republican,FALSE,1.01,JJCooley
11/1/1960,Massachusetts,MA,1,FALSE,FALSE,TRUE,Smith,democratic,FALSE,1.01,JJCooley
11/1/1960,Michigan,MI,1,FALSE,FALSE,TRUE,Hart,democratic,FALSE,1.01,JJCooley
11/1/1960,Minnesota,MN,1,FALSE,FALSE,TRUE,McCarthy,democratic,FALSE,1.01,JJCooley
11/1/1960,Mississippi,MS,1,FALSE,FALSE,TRUE,Stennis,democratic,FALSE,1.01,JJCooley
11/1/1960,Missouri,MO,1,FALSE,FALSE,TRUE,Symington,democratic,FALSE,1.01,JJCooley
11/1/1960,Missouri,MO,3,TRUE,FALSE,TRUE,Long,democratic,FALSE,1.01,JJCooley
11/1/1960,Montana,MT,1,FALSE,FALSE,TRUE,Mansfield,democratic,FALSE,1.01,JJCooley
11/1/1960,Nebraska,NE,1,FALSE,FALSE,TRUE,Hruska,republican,FALSE,1.01,JJCooley
11/1/1960,Nevada,NV,1,FALSE,FALSE,TRUE,Cannon,democratic,FALSE,1.01,JJCooley
11/1/1960,Nevada,NV,3,TRUE,FALSE,TRUE,Bible,democratic,FALSE,1.01,JJCooley
11/1/1960,New Hampshire,NH,3,TRUE,FALSE,TRUE,Cotton,republican,FALSE,1.01,JJCooley
11/1/1960,New Jersey,NJ,1,FALSE,FALSE,TRUE,Williams,democratic,FALSE,1.01,JJCooley
11/1/1960,New Mexico,NM,1,FALSE,FALSE,TRUE,Chavez,democratic,FALSE,1.01,JJCooley
11/1/1960,New York,NY,1,FALSE,FALSE,TRUE,Keating,republican,FALSE,1.01,JJCooley
11/1/1960,New York,NY,3,TRUE,FALSE,TRUE,Javits,republican,FALSE,1.01,JJCooley
11/1/1960,North Carolina,NC,3,TRUE,FALSE,TRUE,Ervin,democratic,FALSE,1.01,JJCooley
11/1/1960,North Dakota,ND,1,FALSE,FALSE,TRUE,Burdick,democratic,FALSE,1.01,JJCooley
11/1/1960,North Dakota,ND,3,TRUE,FALSE,TRUE,Young,republican,FALSE,1.01,JJCooley
11/1/1960,Ohio,OH,1,FALSE,FALSE,TRUE,Young,democratic,FALSE,1.01,JJCooley
11/1/1960,Ohio,OH,3,TRUE,FALSE,TRUE,Lausche,democratic,FALSE,1.01,JJCooley
11/1/1960,Oklahoma,OK,3,TRUE,FALSE,TRUE,Monroney,democratic,FALSE,1.01,JJCooley
11/1/1960,Oregon,OR,3,TRUE,FALSE,TRUE,Morse,democratic,FALSE,1.01,JJCooley
11/1/1960,Pennsylvania,PA,1,FALSE,FALSE,TRUE,Scott,republican,FALSE,1.01,JJCooley
11/1/1960,Pennsylvania,PA,3,TRUE,FALSE,TRUE,Clark,democratic,FALSE,1.01,JJCooley
11/1/1960,Rhode Island,RI,1,FALSE,FALSE,TRUE,Pastore,democratic,FALSE,1.01,JJCooley
11/1/1960,South Carolina,SC,3,TRUE,FALSE,TRUE,Johnston,democratic,FALSE,1.01,JJCooley
11/1/1960,South Dakota,SD,3,TRUE,FALSE,TRUE,Case,republican,FALSE,1.01,JJCooley
11/1/1960,Tennessee,TN,1,FALSE,FALSE,TRUE,Gore,democratic,FALSE,1.01,JJCooley
11/1/1960,Texas,TX,1,FALSE,FALSE,TRUE,Yarborough,democratic,FALSE,1.01,JJCooley
11/1/1960,Utah,UT,1,FALSE,FALSE,TRUE,Moss,democratic,FALSE,1.01,JJCooley
11/1/1960,Utah,UT,3,TRUE,FALSE,TRUE,Bennett,republican,FALSE,1.01,JJCooley
11/1/1960,Vermont,VT,1,FALSE,FALSE,TRUE,Prouty,republican,FALSE,1.01,JJCooley
11/1/1960,Vermont,VT,3,TRUE,FALSE,TRUE,Aiken,republican,FALSE,1.01,JJCooley
11/1/1960,Virginia,VA,1,FALSE,FALSE,TRUE,Byrd,democratic,FALSE,1.01,JJCooley
11/1/1960,Washington,WA,1,FALSE,FALSE,TRUE,Jackson,democratic,FALSE,1.01,JJCooley
11/1/1960,Washington,WA,3,TRUE,FALSE,TRUE,Magnuson,democratic,FALSE,1.01,JJCooley
11/1/1960,West Virginia,WV,1,FALSE,FALSE,TRUE,Byrd,democratic,FALSE,1.01,JJCooley
11/1/1960,Wisconsin,WI,1,FALSE,FALSE,TRUE,Proxmire,democratic,FALSE,1.01,JJCooley
11/1/1960,Wisconsin,WI,3,TRUE,FALSE,TRUE,Wiley,republican,FALSE,1.01,JJCooley
11/1/1960,Wyoming,WY,1,FALSE,FALSE,TRUE,McGee,democratic,FALSE,1.01,JJCooley
11/08/1960,Michigan,MI,2,FALSE,FALSE,FALSE,Reynolds,independent american,FALSE,0.00045403310009771800,kachang
11/08/1960,Michigan,MI,2,FALSE,FALSE,FALSE,Sim,socialist labor,FALSE,0.0004850251205822040,kachang
11/08/1960,Michigan,MI,2,FALSE,FALSE,FALSE,Severance,prohibition,FALSE,0.0007044486256123640,kachang
11/08/1960,Michigan,MI,2,FALSE,FALSE,FALSE,Lovell,socialist workers,FALSE,0.001017158112300830,kachang
11/08/1960,Michigan,MI,2,FALSE,FALSE,FALSE,Bentley,republican,FALSE,0.48002703743867100,kachang
11/08/1960,Michigan,MI,2,FALSE,FALSE,FALSE,McNamara,democratic,FALSE,0.5173122976027360,kachang
11/08/1960,Mississippi,MS,2,FALSE,FALSE,FALSE,Moore,republican,FALSE,0.08193561477072910,kachang
11/08/1960,Mississippi,MS,2,FALSE,FALSE,FALSE,Eastland,democratic,FALSE,0.9180643852292710,kachang
11/08/1960,Montana,MT,2,FALSE,FALSE,FALSE,Fjare,republican,FALSE,0.49267927638714200,kachang
11/08/1960,Montana,MT,2,FALSE,FALSE,FALSE,Metcalf,democratic,FALSE,0.5073207236128580,kachang
11/08/1960,New Hampshire,NH,2,FALSE,FALSE,FALSE,Hill,democratic,FALSE,0.3965431497678620,kachang
11/08/1960,New Hampshire,NH,2,FALSE,FALSE,FALSE,Bridges,republican,FALSE,0.6034568502321380,kachang
