date,region,state_po,candidate,party,voteshare,version
11/1/1976,Alabama,AL,Carter,democrat,0.557272688844739,20171015
11/1/1976,Alabama,AL,Ford,republican,0.426148708627468,20171015
11/1/1976,Alabama,AL,Maddox,american independent party,0.00777613391385214,20171015
11/1/1976,Alabama,AL,Bubar,prohibition,0.00563807752462273,20171015
11/1/1976,Alabama,AL,Hall,communist party use,0.001651942342647,20171015
11/1/1976,Alabama,AL,Macbride,libertarian,0.00125206070084964,20171015
11/1/1976,Alaska,AK,Ford,republican,0.579045753961189,20171015
11/1/1976,Alaska,AK,Carter,democrat,0.356531309175069,20171015
11/1/1976,Alaska,AK,Macbride,libertarian,0.0549063718905271,20171015
11/1/1976,Arizona,AZ,Ford,republican,0.563661357794805,20171015
11/1/1976,Arizona,AZ,Carter,democrat,0.397999781882515,20171015
11/1/1976,Arizona,AZ,McCarthy,independent,0.0258900068531975,20171015
11/1/1976,Arizona,AZ,Macbride,libertarian,0.0102959531128192,20171015
11/1/1976,Arizona,AZ,Camejo,socialist workers,0.00124946312131506,20171015
11/1/1976,Arizona,AZ,Anderson,american,0.000759371983213032,20171015
11/1/1976,Arizona,AZ,Maddox,american independent party,0.000114444359172177,20171015
11/1/1976,Arkansas,AR,Carter,democrat,0.649617281296618,20171015
11/1/1976,Arkansas,AR,Ford,republican,0.349043366100569,20171015
11/1/1976,Arkansas,AR,Maddox,american independent party,0.000506817278690874,20171015
11/1/1976,California,CA,Ford,republican,0.497483139559469,20171015
11/1/1976,California,CA,Carter,democrat,0.479548218361125,20171015
11/1/1976,California,CA,Macbride,independent,0.0072257383290384,20171015
11/1/1976,California,CA,Maddox,american independent party,0.00654786084161886,20171015
11/1/1976,California,CA,Wright,peace & freedom,0.00534754355907465,20171015
11/1/1976,California,CA,Camejo,independent,0.00221162335640338,20171015
11/1/1976,California,CA,Hall,independent,0.00163587599326992,20171015
11/1/1976,Colorado,CO,Ford,republican,0.540277777777778,20171015
